iter	Logloss
0	0.3549634443
1	0.3488843536
2	0.3472287191
3	0.3462526247
4	0.333746148
5	0.3333330118
6	0.3330809735
7	0.3329112858
8	0.3326420714
9	0.3325171101
10	0.3323897745
11	0.3322641677
12	0.3321639982
13	0.3320671212
14	0.3317972737
15	0.331733731
16	0.3316354646
17	0.3313686755
18	0.3312953549
19	0.331271963
20	0.331212534
21	0.3311795455
22	0.3311592317
23	0.3310393831
24	0.3308893242
25	0.3308102257
26	0.3308005968
27	0.3307788643
28	0.3307663459
29	0.3307151978
30	0.3306729143
31	0.3306291417
32	0.3306076528
33	0.3305485302
34	0.3305045067
35	0.3304910519
36	0.3304787076
37	0.3304607097
38	0.33043567
39	0.3304260538
40	0.330422745
41	0.3303992287
42	0.3303716127
43	0.3303196118
44	0.3302862133
45	0.3302518963
46	0.3302502068
47	0.3302430595
48	0.3302352914
49	0.3302241162
50	0.3301581748
51	0.3301519545
52	0.3301269685
53	0.3300898271
54	0.3300819945
55	0.3300807823
56	0.3300671951
57	0.3300670333
58	0.3300581875
59	0.3300482511
60	0.3300473639
61	0.3300459808
62	0.3300382385
63	0.3300311936
64	0.3300306965
65	0.3300233738
66	0.3300221778
67	0.3300091073
68	0.3300068236
69	0.3299995375
70	0.3299788416
71	0.3299187585
72	0.3298975208
73	0.329897134
74	0.329896603
75	0.3298846733
76	0.3298601319
77	0.3298387624
78	0.3298298824
79	0.3298249853
80	0.3298244294
81	0.3298149357
82	0.329813159
83	0.3298081665
84	0.3298081161
85	0.3297329026
86	0.3296925047
87	0.3296806282
88	0.3296610837
89	0.329655841
90	0.3296364755
91	0.3296341254
92	0.3296252991
93	0.3296186423
94	0.3295949967
95	0.3295859194
96	0.3295806726
97	0.3295795489
98	0.329579507
99	0.3295785529
