iter	Passed	Remaining
0	876	86746
1	1200	58819
2	1519	49132
3	1759	42236
4	1958	37211
5	2144	33597
6	2312	30728
7	2498	28730
8	2664	26940
9	2857	25715
10	3026	24484
11	3210	23546
12	3371	22561
13	3553	21828
14	3722	21094
15	3915	20554
16	4080	19921
17	4276	19481
18	4445	18953
19	4618	18472
20	4772	17951
21	4963	17598
22	5121	17147
23	5305	16799
24	5465	16395
25	5664	16121
26	5904	15962
27	6100	15687
28	6273	15359
29	6427	14996
30	6603	14699
31	6765	14376
32	6942	14096
33	7111	13803
34	7299	13556
35	7451	13247
36	7642	13013
37	7813	12749
38	7987	12493
39	8173	12260
40	8471	12191
41	8663	11964
42	8833	11710
43	8988	11440
44	9163	11199
45	9338	10962
46	9532	10749
47	9774	10588
48	9989	10397
49	10171	10171
50	10335	9930
51	10499	9691
52	10680	9471
53	10841	9235
54	11006	9005
55	11220	8815
56	11463	8647
57	11707	8478
58	11876	8253
59	12047	8031
60	12196	7798
61	12408	7605
62	12558	7375
63	12734	7163
64	12909	6951
65	13109	6753
66	13304	6553
67	13492	6349
68	13664	6139
69	13857	5939
70	14113	5764
71	14456	5621
72	14746	5454
73	14970	5259
74	15167	5055
75	15336	4843
76	15501	4630
77	15700	4428
78	15884	4222
79	16091	4022
80	16269	3816
81	16448	3610
82	16644	3409
83	16807	3201
84	17001	3000
85	17222	2803
86	17441	2606
87	17631	2404
88	17805	2200
89	17967	1996
90	18158	1795
91	18370	1597
92	18528	1394
93	18706	1194
94	18862	992
95	19031	792
96	19195	593
97	19395	395
98	19590	197
99	19782	0
